fips,series_complete_pop_pct,date
47009,38.6,07/04/2021
21057,30.2,07/04/2021
08009,16.7,07/04/2021
02282,63.9,07/04/2021
72125,54.3,07/04/2021
06035,26.1,07/04/2021
55113,47.1,07/04/2021
06063,0,07/04/2021
56021,38.1,07/04/2021
37123,30,07/04/2021
26065,45.7,07/04/2021
25017,64.2,07/04/2021
22011,20.3,07/04/2021
51035,7.4,07/04/2021
29189,46.9,07/04/2021
29217,24.1,07/04/2021
39083,33.1,07/04/2021
47169,25.8,07/04/2021
05113,21.9,07/04/2021
01055,26,07/04/2021
13049,5.6,07/04/2021
72015,53.1,07/04/2021
48095,0,07/04/2021
40053,30.1,07/04/2021
38039,39.2,07/04/2021
38059,31.5,07/04/2021
51171,27.3,07/04/2021
54073,8.6,07/04/2021
18001,26.9,07/04/2021
30029,31.2,07/04/2021
13027,22.2,07/04/2021
04017,47.6,07/04/2021
42025,47.9,07/04/2021
08055,28.8,07/04/2021
29145,16.7,07/04/2021
20139,35.9,07/04/2021
48099,0,07/04/2021
35041,20.5,07/04/2021
48205,0,07/04/2021
12075,30.7,07/04/2021
20133,16.8,07/04/2021
48127,0,07/04/2021
72139,36.7,07/04/2021
06049,0,07/04/2021
12081,44.5,07/04/2021
36029,54.1,07/04/2021
51121,23.3,07/04/2021
55061,40.5,07/04/2021
20007,36,07/04/2021
28039,23.8,07/04/2021
72137,53,07/04/2021
27073,47.6,07/04/2021
13025,6.4,07/04/2021
48373,0,07/04/2021
19009,48.9,07/04/2021
31123,26.7,07/04/2021
51037,9,07/04/2021
18159,35.5,07/04/2021
48071,0,07/04/2021
20163,35.6,07/04/2021
13083,11.9,07/04/2021
37047,29.1,07/04/2021
12051,30.7,07/04/2021
51590,0.3,07/04/2021
42095,49.6,07/04/2021
30011,23.5,07/04/2021
06095,46.5,07/04/2021
16005,35.7,07/04/2021
13127,35.8,07/04/2021
01077,32.5,07/04/2021
18113,30.4,07/04/2021
19029,47.7,07/04/2021
38013,29.6,07/04/2021
19121,42.5,07/04/2021
33005,52.2,07/04/2021
20069,27.3,07/04/2021
27045,53.5,07/04/2021
22099,24.1,07/04/2021
17125,37.5,07/04/2021
55095,40.3,07/04/2021
21075,37.4,07/04/2021
13015,9.2,07/04/2021
19043,40.4,07/04/2021
17113,45.1,07/04/2021
26039,40.2,07/04/2021
25023,54.2,07/04/2021
48381,0,07/04/2021
05143,35.2,07/04/2021
05149,29.7,07/04/2021
37195,35.9,07/04/2021
55085,53.5,07/04/2021
21211,38,07/04/2021
47127,15.8,07/04/2021
26161,55.5,07/04/2021
48173,0,07/04/2021
53063,45.8,07/04/2021
17181,37.8,07/04/2021
05037,31.2,07/04/2021
46123,26.4,07/04/2021
17115,36,07/04/2021
72043,46.9,07/04/2021
39149,28.1,07/04/2021
37011,40,07/04/2021
48203,0,07/04/2021
27163,53.1,07/04/2021
19149,41.6,07/04/2021
18053,33.2,07/04/2021
51059,48.7,07/04/2021
51127,20.1,07/04/2021
17161,40.9,07/04/2021
05083,28.8,07/04/2021
30005,60.9,07/04/2021
05019,32.6,07/04/2021
12125,21.7,07/04/2021
12007,26.9,07/04/2021
31077,32.1,07/04/2021
35006,49.2,07/04/2021
12067,24.9,07/04/2021
22111,30.5,07/04/2021
06097,59.3,07/04/2021
48463,0,07/04/2021
23029,55.4,07/04/2021
29229,22.3,07/04/2021
45021,22.5,07/04/2021
20125,31.7,07/04/2021
22029,22.3,07/04/2021
17193,34,07/04/2021
46093,35.5,07/04/2021
17171,30,07/04/2021
21065,35.6,07/04/2021
48267,0,07/04/2021
55119,27,07/04/2021
45011,34.3,07/04/2021
41031,45.9,07/04/2021
01045,34.3,07/04/2021
22083,29.3,07/04/2021
47139,30.6,07/04/2021
55079,47.1,07/04/2021
27147,47.3,07/04/2021
08073,17,07/04/2021
26133,32.7,07/04/2021
20093,35.8,07/04/2021
42017,53.7,07/04/2021
19159,41.8,07/04/2021
37057,32.8,07/04/2021
49035,41.8,07/04/2021
46101,36.2,07/04/2021
51001,47.2,07/04/2021
37091,21.8,07/04/2021
06003,0,07/04/2021
31103,22.8,07/04/2021
53049,44.5,07/04/2021
48069,0,07/04/2021
18067,36.3,07/04/2021
22047,35.6,07/04/2021
26073,34.8,07/04/2021
20015,33.3,07/04/2021
26105,49,07/04/2021
06053,49.2,07/04/2021
08023,32.5,07/04/2021
05005,32.5,07/04/2021
39159,47.5,07/04/2021
31155,40,07/04/2021
21171,33,07/04/2021
36055,57.1,07/04/2021
27001,48.4,07/04/2021
18129,37.2,07/04/2021
21213,38,07/04/2021
29161,31,07/04/2021
21043,30.5,07/04/2021
48233,0,07/04/2021
06099,34,07/04/2021
28073,37,07/04/2021
29227,30.5,07/04/2021
01031,23.4,07/04/2021
48019,0,07/04/2021
72025,57.9,07/04/2021
22079,31,07/04/2021
41049,37.9,07/04/2021
45013,46.2,07/04/2021
30033,15.6,07/04/2021
28145,25.6,07/04/2021
47115,30.1,07/04/2021
01037,28.1,07/04/2021
29059,23.8,07/04/2021
22113,22.4,07/04/2021
28109,27,07/04/2021
46049,39.5,07/04/2021
48335,0,07/04/2021
30051,26.9,07/04/2021
48375,0,07/04/2021
05047,31.4,07/04/2021
72017,49.1,07/04/2021
28101,33,07/04/2021
27025,43.5,07/04/2021
16073,21.9,07/04/2021
16051,26.1,07/04/2021
18183,37.6,07/04/2021
36087,47,07/04/2021
01043,25.5,07/04/2021
38071,44.1,07/04/2021
28055,27.7,07/04/2021
12111,40.3,07/04/2021
21081,35.6,07/04/2021
21017,42.4,07/04/2021
47159,22.1,07/04/2021
22013,31.2,07/04/2021
13317,10.1,07/04/2021
40123,37.1,07/04/2021
55123,44.1,07/04/2021
29107,33,07/04/2021
48475,0,07/04/2021
22095,39.2,07/04/2021
37185,26.9,07/04/2021
37105,38.3,07/04/2021
31141,32.9,07/04/2021
13087,25.4,07/04/2021
48007,0,07/04/2021
39105,32.6,07/04/2021
22073,29.8,07/04/2021
01091,34,07/04/2021
17143,44.2,07/04/2021
13093,10.2,07/04/2021
40063,30.8,07/04/2021
51735,0,07/04/2021
21011,38.4,07/04/2021
56005,18.9,07/04/2021
06045,49.4,07/04/2021
13019,11.7,07/04/2021
51065,37.3,07/04/2021
01089,42,07/04/2021
13239,8,07/04/2021
37125,43.9,07/04/2021
08027,23.7,07/04/2021
01009,18.5,07/04/2021
18027,24.7,07/04/2021
42001,40.8,07/04/2021
17191,28.9,07/04/2021
24001,42.5,07/04/2021
36053,49.8,07/04/2021
40099,33.1,07/04/2021
54067,28,07/04/2021
17057,39,07/04/2021
29003,26.1,07/04/2021
21005,44.7,07/04/2021
20079,33.8,07/04/2021
40017,39.8,07/04/2021
05131,24.7,07/04/2021
06091,0,07/04/2021
01103,29.6,07/04/2021
08123,32.8,07/04/2021
48383,0,07/04/2021
48367,0,07/04/2021
40101,33.1,07/04/2021
54057,30.5,07/04/2021
53041,37.5,07/04/2021
08069,43,07/04/2021
01121,23.8,07/04/2021
31063,19.1,07/04/2021
26165,39.4,07/04/2021
27115,36.9,07/04/2021
31017,28.9,07/04/2021
47027,21.3,07/04/2021
19141,41.2,07/04/2021
72117,53.1,07/04/2021
01087,31,07/04/2021
17001,38.9,07/04/2021
08113,55,07/04/2021
51175,6.6,07/04/2021
05089,23.6,07/04/2021
29159,29.1,07/04/2021
27023,39.8,07/04/2021
36073,42.5,07/04/2021
48369,0,07/04/2021
51770,7,07/04/2021
48401,0,07/04/2021
21151,37.5,07/04/2021
19197,45.8,07/04/2021
46023,36.6,07/04/2021
16011,31.5,07/04/2021
72027,55,07/04/2021
36093,55.9,07/04/2021
05095,34.8,07/04/2021
42021,43.6,07/04/2021
54109,33.4,07/04/2021
47137,33.7,07/04/2021
21153,33.6,07/04/2021
54061,14.7,07/04/2021
05041,37.3,07/04/2021
22057,27.8,07/04/2021
13023,4.2,07/04/2021
20019,31.6,07/04/2021
05117,26.6,07/04/2021
12061,49.6,07/04/2021
35027,32.9,07/04/2021
39073,36,07/04/2021
29187,29.9,07/04/2021
16003,32.5,07/04/2021
28133,34.6,07/04/2021
48447,0,07/04/2021
22031,26.2,07/04/2021
20129,28.4,07/04/2021
08063,19.2,07/04/2021
22065,25.8,07/04/2021
17203,40.6,07/04/2021
42023,46.7,07/04/2021
19089,40.6,07/04/2021
55023,46.2,07/04/2021
01047,26.5,07/04/2021
17043,54.7,07/04/2021
18011,56.7,07/04/2021
13147,20.4,07/04/2021
56025,31.2,07/04/2021
05059,27.6,07/04/2021
31007,19.1,07/04/2021
55017,44.4,07/04/2021
48051,0,07/04/2021
23027,56.2,07/04/2021
48489,0,07/04/2021
48355,0,07/04/2021
17051,21.3,07/04/2021
06015,28.5,07/04/2021
21061,28.7,07/04/2021
13033,28.4,07/04/2021
40143,42.3,07/04/2021
20043,30.7,07/04/2021
08089,23.5,07/04/2021
27139,52.4,07/04/2021
41021,33.9,07/04/2021
54091,3.6,07/04/2021
51510,26.3,07/04/2021
31015,26.6,07/04/2021
55111,49.6,07/04/2021
51021,6.4,07/04/2021
27053,58.1,07/04/2021
50013,66.3,07/04/2021
19017,48,07/04/2021
05027,29.1,07/04/2021
48281,0,07/04/2021
26037,45.7,07/04/2021
18105,50.2,07/04/2021
16029,26.4,07/04/2021
46087,35.2,07/04/2021
40001,21.7,07/04/2021
53031,65.8,07/04/2021
31129,40.2,07/04/2021
42069,56.6,07/04/2021
48125,0,07/04/2021
53011,49.3,07/04/2021
44007,52.7,07/04/2021
48141,0,07/04/2021
20115,36.8,07/04/2021
31183,21.6,07/04/2021
36015,45.6,07/04/2021
13299,15.5,07/04/2021
15005,0,07/04/2021
28161,42.1,07/04/2021
22017,32.1,07/04/2021
21229,39,07/04/2021
30043,38.8,07/04/2021
51109,2.6,07/04/2021
39009,40,07/04/2021
05107,29.8,07/04/2021
13199,16.4,07/04/2021
17111,45.5,07/04/2021
56043,29.8,07/04/2021
12053,38.6,07/04/2021
45003,32.2,07/04/2021
01063,32.3,07/04/2021
45075,36.6,07/04/2021
30075,16.2,07/04/2021
31101,26.1,07/04/2021
46097,40.4,07/04/2021
48415,0,07/04/2021
23015,65.2,07/04/2021
19155,43.4,07/04/2021
20111,40.9,07/04/2021
22103,39.3,07/04/2021
20135,38,07/04/2021
39057,49.7,07/04/2021
48103,0,07/04/2021
20045,47,07/04/2021
30079,30.1,07/04/2021
17053,39.4,07/04/2021
53029,49.9,07/04/2021
28007,31.9,07/04/2021
20031,37.1,07/04/2021
05023,30,07/04/2021
29167,26.4,07/04/2021
72115,56,07/04/2021
51093,13.9,07/04/2021
48009,0,07/04/2021
01027,26.4,07/04/2021
18035,38.4,07/04/2021
48297,0,07/04/2021
39157,33.9,07/04/2021
17025,26.9,07/04/2021
31185,39.7,07/04/2021
46081,35,07/04/2021
40023,22.4,07/04/2021
51750,7.5,07/04/2021
55003,53.9,07/04/2021
48351,0,07/04/2021
55125,52,07/04/2021
